textbox1,CustomerNum,stmt_freq,acct_type,dlvr_cd,trip_days,install_dt,acct_avg_volume,dlvr_name,stop_min,AverageMaintenanceRevenue,dlvr_addr,CalculationName,envrn_chrg_pct,AverageReplacementRevenue,dlvr_city,upchrg_dscnt,AverageDirectSales,empl_num,item_num,item_desc,size_misc,identity,identity2,reg_invty_qty,spec_invty_qty,unit_price,price_chng_dt,flat_rate_min,dlvr_freq,avg_delivery,item_avg_volume
Plant 2502,321728,11L,TIE,MULT,MTWHF..,8/8/2024,$738.75 ,DH Wound Care - Mercy Medical Center,$0.00 ,101.66,1950 Rosaline Avenue Suite A,IM: Quantity Delivered,9.00%,0,"Redding, CA",15.00%,0,5,92475000,HYPERBARIC SCB TP 2X,XLRG,HYPERBARIC SCRUB XXL - COG,,5,0,0.5,2/7/2025,100%,7517,0,0
Plant 2502,321728,11L,TIE,MULT,MTWHF..,8/8/2024,$738.75 ,DH Wound Care - Mercy Medical Center,$0.00 ,101.66,1950 Rosaline Avenue Suite A,IM: Quantity Delivered,9.00%,0,"Redding, CA",15.00%,0,5,92485000,HYPERBARIC SCB PT 2X,XLRG,HYPERBARIC SCRUB XXL - COG,,5,0,0.5,2/7/2025,100%,7517,0,0
Plant 2502,242634,09L,IND,WKLY,.T.....,4/22/2014,$0.00 ,Susanville Police Department - D/S,$0.00 ,0,1801 Main St,IM: Quantity Delivered,0.00%,0,"Susanville, CA",0.00%,0,0,56105212,Cl-Caravel-Blk-52120,52X120, ,,0,0,5,2/14/2024,0,7027,0,0
Plant 2502,242634,09L,IND,WKLY,.T.....,4/22/2014,$0.00 ,Susanville Police Department - D/S,$0.00 ,0,1801 Main St,IM: Quantity Delivered,0.00%,0,"Susanville, CA",0.00%,0,0,80320000,CENTER PULL 600' WHT,na, , ,1,0,65.61,12/24/2021,0,7027,0,0
Plant 2502,242634,09L,IND,WKLY,.T.....,4/22/2014,$0.00 ,Susanville Police Department - D/S,$0.00 ,0,1801 Main St,IM: Quantity Delivered,0.00%,0,"Susanville, CA",0.00%,0,0,80400000,JUMBO BTH TISS 12/CS,na, , ,1,0,76.79,12/24/2021,0,7027,0,0
Plant 2502,242634,09L,IND,WKLY,.T.....,4/22/2014,$0.00 ,Susanville Police Department - D/S,$0.00 ,0,1801 Main St,IM: Quantity Delivered,0.00%,0,"Susanville, CA",0.00%,0,0,81300020,TLT SEAT COVER-CASE,, ,,1,0,41.44,12/24/2021,0,7027,0,0
Plant 2502,242634,09L,IND,WKLY,.T.....,4/22/2014,$0.00 ,Susanville Police Department - D/S,$0.00 ,0,1801 Main St,IM: Quantity Delivered,0.00%,0,"Susanville, CA",0.00%,0,0,82370000,FM-PINK GEL SOAP CS,na, ,,1,0,47.01,12/24/2021,0,7027,0,0
Plant 2502,242634,09L,IND,WKLY,.T.....,4/22/2014,$0.00 ,Susanville Police Department - D/S,$0.00 ,0,1801 Main St,IM: Quantity Delivered,0.00%,0,"Susanville, CA",0.00%,0,0,83260000,F-MATIC-URINAL SNTZR,na, ,,0,0,37.61,12/24/2021,0,7027,0,0
Plant 2502,261201,09L,TIE,WKLY,....F..,8/12/2013,$206.98 ,Value Inn & Suites,$20.00 ,49.25,533 N Market St,IM: Quantity Delivered,0.00%,0,"Redding, CA",25.00%,0,0,440000,Service Charge      ,      , , ,1,0,10,5/8/2023,100%,7017,0,7
Plant 2502,261201,09L,TIE,WKLY,....F..,8/12/2013,$206.98 ,Value Inn & Suites,$20.00 ,49.25,533 N Market St,IM: Quantity Delivered,0.00%,0,"Redding, CA",25.00%,0,0,40751012,SHEET-T250-QWN-WHT,na, ,PAR 60 ,100,0,1.34,12/23/2024,0,7027,17.5,22.75
Plant 2502,261201,09L,TIE,WKLY,....F..,8/12/2013,$206.98 ,Value Inn & Suites,$20.00 ,49.25,533 N Market St,IM: Quantity Delivered,0.00%,0,"Redding, CA",25.00%,0,0,40751412,SHEET-T250-KNG-WHT,na, ,PAR 40 ,50,0,1.58,12/23/2024,0,7027,33.8,49.28
Plant 2502,261201,09L,TIE,WKLY,....F..,8/12/2013,$206.98 ,Value Inn & Suites,$20.00 ,49.25,533 N Market St,IM: Quantity Delivered,0.00%,0,"Redding, CA",25.00%,0,0,44320000,LAUNDRY BAG-PVC-LG,28X36, ,,3,0,0.5,2/11/2025,100%,7017,0,0
Plant 2502,274895,05L,TIE,WKLY,M......,10/6/2015,$39.63 ,250 Hemsted LP,$19.00 ,9.31,250 Hemsted Dr,IM: Quantity Delivered,15.00%,0,"Redding, CA",27.00%,0,0,76080310,MAT-NY/RB-OX GRY3X10,3'X10', ,,1,0,22.97,12/23/2024,100%,5015,0,0
Plant 2502,274895,05L,TIE,WKLY,M......,10/6/2015,$39.63 ,250 Hemsted LP,$19.00 ,9.31,250 Hemsted Dr,IM: Quantity Delivered,15.00%,0,"Redding, CA",27.00%,0,0,76080406,MAT-NY/RB-OX GRY-4X6,4'X6', ,,2,0,22.97,12/23/2024,100%,5015,1,13.31
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,0,8490000,Halo-Sleep-Sak-Cog,, ,,0,0,0,9/6/2019,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,0,21053232,Pant-Ind-Navy-*,D32, ,,6,0,0.24,5/30/2024,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,0,50467272,Cloth-C-Sb-Wht-72x72,, ,,0,0,0.9,2/27/2019,0%,10,2,6
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,0,56105212,Cl-Caravel-Blk-52120,52X120, ,,0,0,11,7/18/2025,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,0,56395212,Cl-Carvl-Ivory-52120,52X120, ,,0,0,11,5/30/2023,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,0,79040000,Names           Sale,name   , ,,0,0,0,7/16/2014,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,0,97240000,Coverall         Cog,COG, ,,0,0,3,5/15/2019,0%,10,25,75
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,12,14563000,ST-MEN-CARGO-12IN-NV,30,CORY CORY,,5,0,0.1,8/12/2024,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,12,14563200,ST-MEN-CARGO-12IN-NV,32,CORY CORY,,4,0,0.1,6/22/2022,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,12,31382000,Shirt-White-Dc65-Ss,M,CORY CORY,,11,0,0.5,10/4/2021,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,12,31383000,Shirt-White-Dc65-Ss,L,CORY CORY,,11,0,0,8/30/2017,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,33,4743002,VEST-NAVY-QUILTED,LR,NIGEL NIGEL,,1,0,0,5/9/2016,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,33,13493002,JCKT-WAIST-SLPKT-NVY,LR,NIGEL NIGEL,,2,0,0.95,5/9/2016,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,33,14563400,ST-MEN-CARGO-12IN-NV,34,NIGEL NIGEL,,11,0,0,5/9/2016,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,33,21053432,Pant-Ind-Navy-*,E32,NIGEL NIGEL,,11,0,0,5/9/2016,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,33,31382000,Shirt-White-Dc65-Ss,M,NIGEL NIGEL,,11,0,0,5/9/2016,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,75,13493002,JCKT-WAIST-SLPKT-NVY,LR,ED ED,,1,0,0.5,1/17/2025,100%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,75,13494002,JCKT-WAIST-SLPKT-NVY,XLR,ED ED,,2,0,0,1/4/2016,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,75,20073600,SHORTS AC DELCO TEC,36,ED ED,,3,0,0,7/29/2016,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,75,21563630,Pant-Navy-Cargo-Pkt,3630,ED ED,,4,0,0,12/28/2017,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,75,21793630,PANT-FLEX-CARGO-NVY,36X30,ED ED,,3,0,0.2,9/29/2015,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,75,31383000,Shirt-White-Dc65-Ss,L,ED ED,,11,0,0,2/24/2015,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,101,21793230,PANT-FLEX-CARGO-NVY,32X30,PAT PAT,,5,0,0,11/1/2023,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,101,31382000,Shirt-White-Dc65-Ss,M,PAT PAT,,0,0,0,3/10/2022,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,103,13495002,JCKT-WAIST-SLPKT-NVY,2XLR,CHRISTIAN ,,1,0,0.5,2/18/2022,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,103,14564200,ST-MEN-CARGO-12IN-NV,42,CHRISTIAN ,,5,0,0.1,2/18/2022,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,103,14574200,SHORTS-MEN-CARGO-BLK,na,CHRISTIAN ,,4,0,0,7/15/2022,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,103,21794232,PANT-FLEX-CARGO-NVY,42X32,CHRISTIAN ,,6,0,0,2/18/2022,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,103,31385000,Shirt-White-Dc65-Ss,2XL,CHRISTIAN ,,11,0,0,2/18/2022,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,110,13493002,JCKT-WAIST-SLPKT-NVY,LR,SKYLER GLASHAN,,2,0,0.5,7/14/2022,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,110,14563400,ST-MEN-CARGO-12IN-NV,34,SKYLER GLASHAN,,6,0,0.1,7/14/2022,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,110,21793230,PANT-FLEX-CARGO-NVY,32X30,SKYLER GLASHAN,,3,0,0,2/11/2025,100%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,110,21793430,PANT-FLEX-CARGO-NVY,34X30,SKYLER GLASHAN,,5,0,0,7/14/2022,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,110,31382000,Shirt-White-Dc65-Ss,M,SKYLER GLASHAN,,11,0,0,5/3/2024,100%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,110,33382033,Shirt-White-Dc65-Ls,MR,SKYLER GLASHAN,,6,0,0,3/2/2023,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,120,4743002,VEST-NAVY-QUILTED,LR,TONY HENDRY,,1,0,0,2/21/2025,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,120,13493002,JCKT-WAIST-SLPKT-NVY,LR,TONY HENDRY,,1,0,0.5,11/25/2022,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,120,14563200,ST-MEN-CARGO-12IN-NV,32,TONY HENDRY,,5,0,0.1,11/25/2022,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,120,21793230,PANT-FLEX-CARGO-NVY,32X30,TONY HENDRY,,6,0,0,11/25/2022,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,120,21793830,PANT-FLEX-CARGO-NVY,38X30,TONY HENDRY,,1,0,0,4/7/2025,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,120,31383000,Shirt-White-Dc65-Ss,L,TONY HENDRY,,11,0,0,11/25/2022,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,126,13492002,JCKT-WAIST-SLPKT-NVY,MR,JOSH WELIVER,,1,0,0,1/23/2025,100%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,126,13813002,JCKT-TEAM-NVY-RC-LIN,LR,JOSH WELIVER,,1,0,0,2/21/2025,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,126,14563200,ST-MEN-CARGO-12IN-NV,32,JOSH WELIVER,,5,0,0.1,1/23/2025,100%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,126,21793230,PANT-FLEX-CARGO-NVY,32X30,JOSH WELIVER,,6,0,0,1/23/2025,100%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,126,31382000,Shirt-White-Dc65-Ss,M,JOSH WELIVER,,11,0,0,1/23/2025,100%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,127,13813002,JCKT-TEAM-NVY-RC-LIN,LR,RUSSELL RUSSELL,,1,0,0,4/15/2025,100%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,127,14563000,ST-MEN-CARGO-12IN-NV,30,RUSSELL RUSSELL,,6,0,0.1,4/15/2025,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,127,21793032,PANT-FLEX-CARGO-NVY,30X32,RUSSELL RUSSELL,,5,0,0,4/15/2025,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,127,31382000,Shirt-White-Dc65-Ss,M,RUSSELL RUSSELL,,11,0,0,4/15/2025,0%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,130,13493002,JCKT-WAIST-SLPKT-NVY,LR,JIM SHELTON,,1,0,0,10/29/2024,100%,10,0,0
Plant 2502,171932,01C,TIE,NODEL,.......,9/9/1993,$0.00 ,2502 Rt 01 Cash Account,$0.00 ,0,1481 Beltline Rd,IM: Quantity Delivered,0.00%,0,"Redding, CA",28.00%,0,130,14563400,ST-MEN-CARGO-12IN-NV,34,JIM SHELTON,,6,0,0,7/10/2024,100%,10,0,0
